gene/TE	/sonas-hs/mhammell/hpc/home/tam/workdir/ALS/regina_samples/BAM/Co-23_S8.bam
"AKAP8L"	1639
"AKAP9"	5702
"AKIP1"	172
"AKIRIN1"	1263
"AKIRIN2"	501
"AKNA"	745
"AKNAD1"	14
"AKR1A1"	455
"AKR1B1"	737
"AKR1B10"	0
"AKR1B15"	0
"AKR1C1"	92
"AKR1C2"	51
"AKR1C3"	57
"AKR1C4"	0
"AKR1C6P"	0
"AKR1C8P"	1
"AKR1D1"	0
"AKR1E2"	180
"AKR7A2"	684
"AKR7A2P1"	5
"AKR7A3"	51
"AKR7L"	37
"AKT1"	1773
"AKT1S1"	528
"AKT2"	1704
"AKT3"	10201
"AKTIP"	1113
"ALAD"	2005
"ALAS1"	1156
"ALAS2"	5
"ALB"	11
"ALCAM"	3307
"ALDH16A1"	163
"ALDH18A1"	650
"ALDH1A1"	587
"ALDH1A2"	57
"ALDH1A3"	232
"ALDH1B1"	300
"ALDH1L1"	1215
"ALDH1L1-AS1"	0
"ALDH1L1-AS2"	35
"ALDH1L2"	428
"ALDH2"	2679
"ALDH3A1"	5
"ALDH3A2"	1245
"ALDH3B1"	94
"ALDH3B2"	0
"ALDH4A1"	685
"ALDH5A1"	2192
"ALDH6A1"	3479
"ALDH7A1"	1427
"ALDH8A1"	107
"ALDH9A1"	803
"ALDOA"	18787
"ALDOB"	2
"ALDOC"	11500
"ALG1"	288
"ALG10"	107
"ALG10B"	379
"ALG11"	276
"ALG12"	313
"ALG13"	954
"ALG14"	97
"ALG1L"	11
"ALG1L2"	29
"ALG1L9P"	154
"ALG2"	351
"ALG3"	146
"ALG5"	156
"ALG6"	163
"ALG8"	207
"ALG9"	801
"ALK"	319
"ALKAL1"	0
"ALKAL2"	16
"ALKBH1"	146
"ALKBH2"	154
"ALKBH3"	282
"ALKBH3-AS1"	0
"ALKBH4"	296
"ALKBH5"	2986
"ALKBH6"	319
"ALKBH7"	311
"ALKBH8"	340
"ALLC"	24
"ALMS1"	3574
"ALMS1-IT1"	48
"ALMS1P1"	59
"ALOX12"	2
"ALOX12-AS1"	49
"ALOX12B"	34
"ALOX12P2"	107
"ALOX15"	12
"ALOX15B"	7
