gene/TE	/sonas-hs/mhammell/hpc/home/tam/workdir/ALS/regina_samples/BAM/ALS-28_S8.bam
"ALG10"	197
"ALG10B"	625
"ALG11"	456
"ALG12"	450
"ALG13"	1199
"ALG14"	142
"ALG1L"	47
"ALG1L2"	32
"ALG1L9P"	310
"ALG2"	431
"ALG3"	194
"ALG5"	208
"ALG6"	260
"ALG8"	463
"ALG9"	1041
"ALK"	363
"ALKAL1"	3
"ALKAL2"	24
"ALKBH1"	291
"ALKBH2"	178
"ALKBH3"	357
"ALKBH3-AS1"	0
"ALKBH4"	288
"ALKBH5"	3346
"ALKBH6"	204
"ALKBH7"	282
"ALKBH8"	362
"ALLC"	17
"ALMS1"	4930
"ALMS1-IT1"	54
"ALMS1P1"	103
"ALOX12"	2
"ALOX12-AS1"	87
"ALOX12B"	60
"ALOX12P2"	200
"ALOX15"	9
"ALOX15B"	94
"ALOX15P1"	22
"ALOX5"	158
"ALOX5AP"	116
"ALOXE3"	85
"ALPI"	0
"ALPK1"	208
"ALPK2"	7
"ALPK3"	272
"ALPL"	399
"ALPP"	0
"ALPPL2"	0
"ALS2"	4019
"ALS2CL"	1003
"ALS2CR12"	234
"ALX1"	2
"ALX3"	38
"ALX4"	6
"ALYREF"	302
"AMACR"	235
"AMBN"	0
"AMBP"	1
"AMBRA1"	1848
"AMD1"	3780
"AMDHD1"	11
"AMDHD2"	338
"AMELX"	0
"AMELY"	0
"AMER1"	575
"AMER2"	9559
"AMER3"	1708
"AMFR"	3676
"AMH"	54
"AMHR2"	0
"AMIGO1"	2727
"AMIGO2"	189
"AMIGO3"	59
"AMMECR1"	276
"AMMECR1L"	563
"AMN"	1
"AMN1"	940
"AMOT"	2886
"AMOTL1"	1594
"AMOTL2"	1865
"AMPD1"	0
"AMPD2"	3173
"AMPD3"	847
"AMPH"	5578
"AMT"	392
"AMTN"	0
"AMY1A"	0
"AMY1B"	0
"AMY1C"	0
"AMY2A"	44
"AMY2B"	1248
"AMZ1"	405
"AMZ2"	1710
"AMZ2P1"	646
"ANAPC1"	2685
"ANAPC10"	230
"ANAPC11"	455
"ANAPC13"	826
"ANAPC15"	283
"ANAPC16"	716
"ANAPC1P1"	9
"ANAPC2"	816
"ANAPC4"	897
"ANAPC5"	3225
"ANAPC7"	1153
"ANG"	42
"ANGEL1"	1508
"ANGEL2"	1584
"ANGPT1"	103
"ANGPT2"	105
"ANGPT4"	6
"ANGPTL1"	30
"ANGPTL2"	193
"ANGPTL3"	0
"ANGPTL4"	367
"ANGPTL5"	5
"ANGPTL6"	20
"ANGPTL7"	11
"ANGPTL8"	12
"ANHX"	0
"ANK1"	1433
"ANK2"	53321
"ANK3"	22492
"ANKAR"	450
"ANKDD1A"	710
"ANKDD1B"	26
"ANKEF1"	81
"ANKFN1"	97
"ANKFY1"	4212
"ANKH"	4357
"ANKHD1"	2159
"ANKHD1-EIF4EBP3"	2053
"ANKIB1"	4482
"ANKK1"	19
"ANKLE1"	41
"ANKLE2"	1390
"ANKMY1"	377
"ANKMY2"	1500
"ANKRA2"	349
"ANKRD1"	2
"ANKRD10"	2222
"ANKRD11"	4964
"ANKRD12"	7335
"ANKRD13A"	1131
"ANKRD13B"	915
"ANKRD13C"	1698
"ANKRD13D"	849
"ANKRD16"	425
"ANKRD17"	9093
"ANKRD18A"	680
"ANKRD18B"	695
"ANKRD18CP"	318
"ANKRD18DP"	41
"ANKRD19P"	523
"ANKRD2"	39
"ANKRD20A1"	55
"ANKRD20A11P"	31
"ANKRD20A12P"	82
"ANKRD20A19P"	52
"ANKRD20A2"	45
"ANKRD20A3"	164
"ANKRD20A4"	141
"ANKRD20A4-ANKRD20A20P"	1243
"ANKRD20A5P"	379
"ANKRD20A8P"	140
"ANKRD20A9P"	76
"ANKRD22"	8
"ANKRD23"	356
"ANKRD24"	1440
"ANKRD26"	3128
"ANKRD26P1"	0
"ANKRD26P3"	175
"ANKRD27"	1539
"ANKRD28"	2938
"ANKRD29"	408
"ANKRD30A"	10
"ANKRD30B"	334
"ANKRD30BL"	8098
"ANKRD30BP2"	20
"ANKRD30BP3"	0
"ANKRD31"	86
"ANKRD33"	3
"ANKRD33B"	2651
"ANKRD34A"	483
"ANKRD34B"	37
"ANKRD34C"	329
"ANKRD34C-AS1"	71
"ANKRD35"	325
"ANKRD36"	4243
"ANKRD36B"	1985
"ANKRD36BP1"	1
"ANKRD36BP2"	563
"ANKRD36C"	3776
"ANKRD37"	143
"ANKRD39"	206
"ANKRD40"	3324
"ANKRD42"	1233
"ANKRD44"	933
"ANKRD44-IT1"	67
"ANKRD45"	171
"ANKRD46"	1730
"ANKRD49"	239
"ANKRD50"	1658
"ANKRD52"	2902
"ANKRD53"	4
"ANKRD54"	494
"ANKRD55"	48
"ANKRD6"	1128
"ANKRD60"	2
"ANKRD61"	4
"ANKRD62"	177
"ANKRD62P1-PARP4P3"	15
"ANKRD63"	135
"ANKRD65"	429
"ANKRD66"	1
"ANKRD7"	54
"ANKRD9"	850
"ANKS1A"	1998
"ANKS1B"	7331
"ANKS3"	452
"ANKS4B"	2
"ANKS6"	977
"ANKUB1"	3
"ANKZF1"	1229
"ANLN"	2718
"ANO1"	107
"ANO1-AS2"	0
"ANO10"	1000
"ANO2"	230
"ANO3"	1765
"ANO4"	1190
"ANO5"	2718
"ANO6"	1270
"ANO7"	35
"ANO8"	902
"ANO9"	4
"ANOS1"	923
"ANP32A"	1777
"ANP32A-IT1"	258
"ANP32AP1"	0
"ANP32B"	457
"ANP32C"	47
"ANP32D"	7
"ANP32E"	1293
"ANPEP"	41
